scorer,,,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie,annie
individuals,,,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish1,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish2,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish3,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish4,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5,fish5
bodyparts,,,nose,nose,lefteye,lefteye,righteye,righteye,spine1,spine1,spine2,spine2,spine3,spine3,backfin,backfin,leftfin,leftfin,rightfin,rightfin,nose,nose,lefteye,lefteye,righteye,righteye,spine1,spine1,spine2,spine2,spine3,spine3,backfin,backfin,leftfin,leftfin,rightfin,rightfin,nose,nose,lefteye,lefteye,righteye,righteye,spine1,spine1,spine2,spine2,spine3,spine3,backfin,backfin,leftfin,leftfin,rightfin,rightfin,nose,nose,lefteye,lefteye,righteye,righteye,spine1,spine1,spine2,spine2,spine3,spine3,backfin,backfin,leftfin,leftfin,rightfin,rightfin,nose,nose,lefteye,lefteye,righteye,righteye,spine1,spine1,spine2,spine2,spine3,spine3,backfin,backfin,leftfin,leftfin,rightfin,rightfin
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,0001_vid,img110804.png,434.0258345,766.1726567,425.7990294,790.853072,445.2348564,788.1108036,438.3791855,816.9046214,447.2915577,867.636586,456.2039298,914.255148,458.9461982,962.2448443,424.6678437,814.162353,453.4616615,808.6778163,488.645039,672.3990018,496.8718441,685.2757402,498.66028,668.4644429,515.4715773,679.1950582,539.4366182,683.4873043,561.6132231,689.5679863,577.3514589,692.0717966,510.1062696,685.2757402,514.0408286,670.6105659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img124316.png,574.3752035,441.1542419,564.7176498,436.8619957,575.4482651,432.5697496,560.4254036,409.4989267,556.6696883,384.2819807,562.5715267,357.4554424,570.6194882,348.3344194,570.6194882,411.108519,553.9870345,418.6199497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img137829.png,803.3008906,524.8530413,796.5644487,532.8142907,810.6497362,532.2018869,806.9753134,560.9848657,806.9753134,586.7058254,803.3008906,605.0779395,797.1768525,622.225246,800.2388716,554.8608276,814.9365628,553.63602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img148639.png,814.7032532,283.1215436,822.7349562,294.5350163,829.4984956,283.1215436,850.634556,300.8758344,872.6160589,311.0211434,889.1021861,316.5165192,903.051986,320.3210101,839.6438046,304.6803253,847.2527863,291.1532466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img156747.png,830.2980754,420.0425692,843.0881018,413.0080547,829.0190728,410.4500494,843.7276031,389.9860073,852.6806215,368.8824638,861.6336399,349.057923,869.9471571,324.1173717,848.8436136,400.2180283,832.2165794,395.7415191,1007.007617,126.7891989,996.2857222,117.5564564,995.9878918,133.6392981,972.1614596,124.4065557,946.5480451,122.6195732,918.5519873,120.5347604,895.9168768,118.747778,981.0963717,117.8542868,980.5007109,133.0436373,244.3328419,545.474249,226.3346735,550.7420056,236.431207,562.594458,200.4348702,583.6654844,182.8756815,600.3467137,160.9266957,626.6854967,,,199.5569108,567.8622146,213.6042617,588.933241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img167557.png,775.3372729,143.9758123,793.9370061,144.9296447,790.1216762,129.1914089,833.5210537,130.1452414,876.4435149,129.1914089,910.7814839,143.0219798,929.8581334,156.8525506,833.9979699,144.9296447,827.7980588,117.7454193,685.890007,117.2441153,666.1359197,119.8779936,679.3053112,129.5355474,649.8936701,151.4845332,634.52938,167.7267828,614.7752928,189.6757686,595.4601852,213.3806734,639.7971366,140.5100403,663.5020414,154.996371,,,,,871.6743526,153.514137,866.428274,171.1600377,871.1974363,191.1905196,877.3973474,219.3285776,881.2126773,240.7898082,855.4592005,170.2062052,874.53585,164.0062942,689.7314182,279.3495698,688.0513724,297.8300739,701.491739,294.8059914,701.491739,321.6867247,705.523849,339.8312197,711.9080232,360.663788,716.6121515,383.5124113,690.7394457,318.9986514,707.539904,315.3025506,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img175665.png,931.3999141,165.1687775,925.1403885,176.4359236,940.9978534,172.2629065,942.6670602,190.6241816,948.9265858,201.0567243,959.7764302,212.7411721,973.5473865,221.5045079,926.3922937,187.7030697,948.9265858,183.1127509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img178367.png,936.6338666,595.3607712,930.2322145,612.2154245,942.8488168,613.2668081,930.7579063,633.7687867,927.6037557,653.2193818,920.7697629,678.9782781,912.3586947,691.5948803,923.3982217,625.8834103,940.7460497,629.0375609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img181070.png,858.5804276,247.5641865,847.9961389,256.1324203,861.1004964,259.6605165,848.5001526,286.3732452,844.9720564,306.5337952,842.9560014,328.2063865,841.9479739,337.2786339,841.4439601,280.3250803,856.5643726,280.829094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img191880.png,392.167391,634.1210544,405.4451726,623.8781943,395.2023125,620.4639076,413.0324763,604.1512045,426.6896231,585.9416755,435.4150224,571.5257984,444.8991521,555.5924605,413.4118415,614.7734298,402.4102511,607.9448564,521.5164906,152.7283091,508.4121331,156.4244099,518.1563989,165.1606482,497.995849,176.9209691,486.5715373,195.0654641,471.1151156,214.5539957,455.658694,234.3785365,491.947684,171.2088132,508.4121331,178.6010149,389.2668054,382.2442477,394.9247662,367.627849,380.7798642,370.9283261,383.1373479,341.2240319,380.3083675,310.5767442,378.8938773,283.2299337,376.0648969,263.8985676,394.9247662,347.3534894,376.0648969,350.1824698,319.4852889,238.437744,307.2263738,251.6396526,322.3142693,252.582646,307.6978705,285.1159206,306.2833803,312.4627312,302.9829032,344.9960058,297.7964391,373.2858098,299.6824261,277.5719729,325.6147464,279.4579598,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img197285.png,985.3291144,528.6765004,975.4439415,536.4805843,990.0115647,542.2035791,974.4033969,557.2914746,966.0790408,577.5820926,953.5925066,602.0348887,942.146517,611.3997894,966.0790408,554.6901133,985.8493866,557.8117469,238.1745255,739.8663907,248.0596984,729.1574534,231.1725281,728.7455712,244.3527586,697.8544059,250.5309917,664.4919474,262.4755756,624.5393736,271.5369841,608.4759677,253.4141671,709.3871076,229.9368815,709.3871076,214.314623,268.2612673,222.8015642,276.7482085,227.7766677,265.627389,248.555041,278.2114742,281.3321932,283.771884,315.279958,291.966172,341.3260879,297.2339286,236.8489152,284.6498434,246.2138158,265.3347358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img199987.png,724.756614,880.6677802,715.5624277,892.7153346,729.5122276,896.5198255,720.0010004,924.1023844,719.0498777,951.6849433,,,,,710.1727323,915.225239,728.8781458,916.1763617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img202690.png,751.9557092,415.259858,743.4091535,425.1558699,755.1044403,427.4049636,743.4091535,448.9962622,739.8106037,467.8886486,734.412779,485.8813975,729.0149544,498.4763217,738.9109663,442.2489814,751.9557092,443.1486188,591.0632749,463.2522641,601.2085839,453.6705833,588.8087618,451.9796985,603.4630971,427.1800542,611.9175212,399.5622685,619.8083172,369.6899697,622.0628303,343.1994406,607.408495,436.7617349,589.9360184,435.0708501,784.7071866,362.7936526,777.5913795,354.0357362,772.1176818,364.4357619,750.7702608,341.4462315,731.6123188,326.6672477,717.9280745,305.8671964,704.2438302,286.7092544,761.1702864,339.8041222,751.3176305,352.3936269,787.9914052,310.2461546,798.3914308,304.2250871,788.538775,298.7513894,802.2230192,288.3513637,813.1704146,269.1934217,825.7599194,244.0144123,831.2336171,231.9722773,804.9598681,297.6566498,792.9177331,289.993473,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img218905.png,925.7661379,355.041054,933.7870018,365.8692203,941.4068226,353.035838,959.8548097,368.2754795,981.1100993,375.0932139,1004.370605,381.5099051,1020.01129,387.5255531,952.234989,375.0932139,958.2506369,358.2493996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img235120.png,959.538514,238.8360775,957.3165179,229.9480931,947.9841343,238.8360775,938.6517507,219.726911,922.6533788,203.2841399,907.9882045,186.3969695,895.9894256,175.7313882,947.0953359,217.0605157,933.31896,228.1704962,385.4845345,591.2094321,364.326796,604.4330187,382.1786378,611.7059913,357.7150027,636.8308057,344.4914162,665.9226961,322.6724984,712.8664284,311.4324498,739.3136014,351.1032095,625.5907572,376.2280239,632.8637298,,,517.448578,969.2197442,499.206532,969.6343362,512.0588826,944.7588189,516.2048021,914.4936062,522.8382734,875.5219624,533.2030723,847.3297094,523.2528654,943.1004511,502.1086757,943.1004511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img259443.png,977.4305279,592.7837977,969.9190972,600.2952284,983.5112099,602.4413514,968.4883485,624.2602692,957.400046,640.3561922,943.0925589,652.8752434,929.5004462,653.2329306,959.9038562,622.4718334,977.0728407,627.1217667,259.2465004,857.8299959,277.1958933,860.171221,267.8309926,842.2218281,309.5828413,823.1018227,336.8971348,805.542634,372.7959206,780.5695656,395.0375596,764.9613979,317.7771294,834.8079485,299.4375323,814.9075346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0001_vid,img294576.png,881.8143776,257.8070466,889.9219536,265.5460964,891.3960583,252.6476801,913.8761554,263.3349393,933.0395169,267.3887274,952.2028784,270.3369368,964.3642424,274.0221986,908.7167889,268.8628321,910.5594198,255.9644157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
